MONTH,YEAR,AIRLINE_CODE,FL_NUMBER,ORIGIN,DEST,SCHEDULED_DEPARTURE,DEP_DELAY,SCHEDULED_ARRIVAL_TIME,ARR_DELAY,CANCELLED,DISTANCE
10,21,MQ,4186,HSV,ORD,1558,14,1807,-8,0,510
4,22,WN,925,AUS,RDU,1435,22,1815,16,0,1162
12,22,OO,5740,SFO,ONT,827,-5,952,-10,0,363
10,21,AA,2811,LAX,DFW,600,-3,1105,6,0,1235
5,22,AA,1348,CLT,DFW,1152,-2,1346,-16,0,936
8,23,OO,3866,SLC,GTF,2055,1,2222,-5,0,463
9,19,YV,5905,DRO,PHX,1520,-17,1542,-33,0,353
2,20,AA,2616,OKC,DFW,825,-4,939,36,0,175
4,19,UA,435,KOA,SFO,1530,-18,2333,-27,0,2367
6,20,WN,1058,STL,BOS,900,-6,1245,-26,0,1047
5,22,OO,3946,BIL,SLC,600,-4,725,-6,0,387
2,20,B6,333,BOS,SFO,2120,-5,117,-24,0,2704
1,23,WN,2549,SAV,HOU,1720,-8,1855,-10,0,853
6,19,WN,2350,BUR,OAK,900,-3,1010,-11,0,325
1,22,AA,1104,LGA,STL,1315,-8,1514,-29,0,888
2,20,WN,4658,MCO,BOS,1400,-1,1650,-14,0,1121
1,19,UA,567,MSY,ORD,1725,4,2001,16,0,837
6,22,OO,3506,ONT,SLC,1700,-1,1946,-8,0,558
3,23,AA,1985,SRQ,CLT,1736,16,1940,-7,0,547
11,19,NK,604,FLL,LGA,705,-5,1002,-2,0,1076
4,23,WN,2937,BNA,DEN,1435,24,1630,10,0,1014
3,23,WN,501,ORD,LAS,1330,-2,1535,47,0,1514
7,22,OH,5336,IAD,CLT,1300,-8,1426,-19,0,322
11,19,WN,6451,BWI,RSW,950,83,1235,60,0,919
5,22,YX,5593,OMA,LGA,1306,-5,1659,-15,0,1148
6,19,WN,2234,DEN,ATL,1130,45,1625,38,0,1199
3,21,OO,5514,CVG,DEN,1543,1,1700,32,0,1069
3,20,DL,1194,PDX,SLC,1654,277,1940,298,0,630
4,22,WN,1548,ABQ,DAL,1820,4,2105,10,0,580
5,22,UA,2003,SAT,EWR,645,-2,1130,6,0,1569
2,22,OO,3184,SBP,PHX,1250,8,1522,22,0,509
7,23,DL,2271,CVG,RSW,1555,6,1816,0,0,879
8,22,AA,2588,BOS,PHX,1700,19,1933,-2,0,2300
6,23,AA,556,MIA,ORD,839,-1,1110,-5,0,1197
8,21,YV,5955,DFW,IAH,720,-3,845,-13,0,224
8,22,DL,1325,BOS,LGA,600,-4,724,-10,0,184
7,21,NK,2673,CMH,PNS,745,12,840,1,0,700
2,19,WN,2253,DEN,SLC,1340,51,1515,32,0,391
9,21,YV,5904,MSN,PHX,1605,9,1750,-11,0,1396
1,22,WN,1502,SMF,ONT,855,18,1015,20,0,390
2,20,UA,1481,IAH,SAT,1701,-3,1807,-7,0,191
6,23,AA,1032,JFK,MIA,700,-8,1010,-18,0,1089
7,19,MQ,3900,DFW,GRK,908,-3,1009,-12,0,134
9,22,MQ,3899,RDU,MIA,1638,0,1844,8,0,700
6,19,OO,5290,TUL,DEN,1407,-8,1500,,0,541
7,23,AA,462,ORD,JAC,1005,-4,1212,-11,0,1162
3,20,AA,1905,CLT,ALB,1630,42,1828,18,0,646
10,22,DL,1152,SFO,MSP,1234,-2,1811,-15,0,1589
1,23,AA,822,ORD,TUS,2015,8,2308,-13,0,1437
8,19,OO,5952,MDT,ORD,1745,-9,1850,,0,594
1,23,WN,1457,ATL,MDW,615,-1,710,-5,0,591
11,21,NK,1243,FLL,DTW,2050,-5,2351,-12,0,1127
2,19,YV,5753,LBB,DFW,824,15,950,0,0,282
7,21,MQ,3502,DFW,HHH,1220,4,1552,-9,0,954
9,19,NK,928,LAS,SMF,1535,-10,1710,-14,0,397
8,21,DL,2054,AUS,SLC,1200,-9,1350,3,0,1086
7,19,MQ,3377,LIT,DFW,1223,-3,1344,-5,0,304
7,19,9E,3311,SAV,LGA,1216,-4,1429,-18,0,722
12,19,WN,3741,MHT,MCO,1330,17,1700,-11,0,1142
10,19,AA,1697,CLT,MDT,2014,27,2148,21,0,413
2,20,UA,2359,LAX,IAH,815,-1,1334,-26,0,1379
6,19,AA,1774,GEG,DFW,1348,172,1924,146,0,1477
3,22,DL,2769,ATL,EWR,1259,25,1505,14,0,746
8,20,OO,3178,DRO,DFW,800,-11,1101,-21,0,674
10,19,DL,1739,ATL,TUS,2050,4,2136,22,0,1541
11,21,OH,5291,CLT,JAN,2239,-6,2343,6,0,562
8,21,AA,2946,BGR,DFW,1818,0,2152,-36,0,1717
8,23,HA,505,OGG,HNL,1915,-6,1954,-8,0,100
1,20,WN,792,BHM,MDW,1630,-5,1820,-15,0,570
7,19,OO,3831,ATL,MGM,1637,0,1644,-3,0,147
12,20,OO,3424,STS,PDX,1835,-9,2006,-16,0,489
